Country_Region,Province_State,lat,lon,continent,population,area
China,Hebei,39.549,116.1306,Asia,75200000,188800
China,Heilongjiang,47.862,127.7615,Asia,37890000,454800
China,Henan,33.882,113.614,Asia,95590000,167500
China,Hong Kong,22.3,114.2,Asia,7335384,1106
China,Hubei,30.9756,112.2707,Asia,59020000,185900
China,Hunan,27.6104,111.7088,Asia,68600000,211800
China,Inner Mongolia,44.0935,113.9448,Asia,25290000,1183000
China,Jiangsu,32.9711,119.455,Asia,80290000,102600
China,Jiangxi,27.614,115.7221,Asia,46220000,166900
China,Jilin,43.6661,126.1923,Asia,27170000,187400
China,Liaoning,41.2956,122.6085,Asia,43690000,148400
China,Macau,22.1667,113.55,Asia,644900,30
China,Ningxia,37.2692,106.1655,Asia,6820000,66400
China,Qinghai,35.7452,95.9956,Asia,5980000,722300
China,Shaanxi,35.1917,108.8701,Asia,38350000,205800
China,Shandong,36.3427,118.1498,Asia,100060000,157100
China,Shanghai,31.202,121.4491,Asia,24180000,6340
China,Shanxi,37.5777,112.2922,Asia,36820000,156700
China,Sichuan,30.6171,102.7103,Asia,83020000,486100
China,Tianjin,39.3054,117.323,Asia,15570000,11917
China,Tibet,31.6927,88.0924,Asia,3370000,1228400
China,Xinjiang,41.1129,85.2401,Asia,24450000,1664900
China,Yunnan,24.974,101.487,Asia,48010000,394100
China,Zhejiang,29.1832,120.0934,Asia,56570000,101800
Colombia,,4.5709,-74.2973,Americas,50339443,1141748
Congo (Brazzaville),,-4.0383,21.7587,Africa,5380508,342000
Congo (Kinshasa),,-4.0383,21.7587,Africa,86790567,2344858
Costa Rica,,9.7489,-83.7534,Americas,5047561,51100
Cote d'Ivoire,,7.54,-5.5471,Africa,25716544,322463
Croatia,,45.1,15.2,Europe,4130304,56594
Cuba,,22,-80,Americas,11333483,109884
Cyprus,,35.1264,33.4299,Asia,1179551,9251
Czechia,,49.8175,15.473,Europe,10689209,78865
Denmark,,56.2639,9.5018,Europe,5771876,43094
Denmark,Faroe Islands,61.8926,-6.9118,Europe,51783,1399
Denmark,Greenland,71.7069,-42.6043,Europe,55992,2166086
Diamond Princess,,0,0,Oceania,3711,0
Djibouti,,11.8251,42.5903,Africa,973560,23200
Dominica,,15.415,-61.371,Americas,71808,751
Dominican Republic,,18.7357,-70.1627,Americas,10738958,48671
Ecuador,,-1.8312,-78.1834,Americas,17373662,276841
Egypt,,26,30,Africa,100388073,1002450
El Salvador,,13.7942,-88.8965,Americas,6453553,21041
Equatorial Guinea,,1.5,10,Africa,1355986,28051
Eritrea,,15.1794,39.7823,Africa,3497117,117600
Estonia,,58.5953,25.0136,Europe,1325648,45227
Eswatini,,-26.5225,31.4659,Africa,1148130,17364
Ethiopia,,9.145,40.4897,Africa,112078730,1104300
Fiji,,-17.7134,178.065,Oceania,889953,18272
Finland,,64,26,Europe,5532156,338424
France,,46.2276,2.2137,Europe,65129728,640679
France,French Guiana,3.9339,-53.1258,Europe,269352,83534
France,French Polynesia,-17.6797,149.4068,Europe,275918,4167
France,Guadeloupe,16.25,-61.5833,Europe,394110,1628
France,Martinique,14.6415,-61.0242,Europe,376480,1128
France,Mayotte,-12.8275,45.1662,Europe,256518,374
France,New Caledonia,-20.9043,165.618,Europe,271407,18576
France,Reunion,-21.1351,55.2471,Europe,852924,2504
France,Saint Barthelemy,17.9,-62.8333,Europe,9793,25
France,St Martin,18.0708,-63.0501,Europe,77741,53
Gabon,,-0.8037,11.6094,Africa,2172579,267668
Gambia,,13.4432,-15.3101,Africa,2347706,11295
Georgia,,42.3154,43.3569,Asia,3996765,69700
Germany,,51,9,Europe,83517045,357114
Ghana,,7.9465,-1.0232,Africa,28833629,238533
Greece,,39.0742,21.8243,Europe,10473455,131957
Grenada,,12.1165,-61.679,Americas,112003,344
Guatemala,,15.7835,-90.2308,Americas,17581472,108889
Guinea,,9.9456,-9.6966,Africa,12771246,245857
Guinea-Bissau,,11.8037,-15.1804,Africa,1920922,36125
Guyana,,5,-58.75,Americas,782766,214969
Haiti,,18.9712,-72.2852,Americas,11263770,27750
Holy See,,41.9029,12.4534,Europe,799,0.44
Honduras,,15.2,-86.2419,Americas,9746117,112492
Hungary,,47.1625,19.5033,Europe,9684679,93028
Iceland,,64.9631,-19.0208,Europe,339031,103000
India,,21,78,Asia,1366417754,3287263
Indonesia,,-0.7893,113.9213,Asia,270625568,1910931
Iran,,32,53,Asia,82913906,1648195
Iraq,,33,44,Asia,39309783,438317
Ireland,,53.1424,-7.6921,Europe,4882495,70273
Israel,,31,35,Asia,8519377,20770
Italy,,43,12,Europe,60550075,301339
Jamaica,,18.1096,-77.2975,Americas,2948279,10991
Japan,,36,138,Asia,126860301,377975
Jordan,,31.24,36.51,Asia,10101694,89342
Kazakhstan,,48.0196,66.9237,Asia,18551427,2724900
Kenya,,-0.0236,37.9062,Africa,52573973,580367
"Korea, South",,36,128,Asia,51225308,100210
Kuwait,,29.5,47.75,Asia,4207083,17818
Kyrgyzstan,,41.2044,74.7661,Asia,6415850,199951
Laos,,19.85627,102.495496,Asia,7169455,236800
Latvia,,56.8796,24.6032,Europe,1906743,64559
Lebanon,,33.8547,35.8623,Asia,6855713,10452
Liberia,,6.4281,-9.4295,Africa,4937374,111369
Libya,,26.3351,17.228331,Africa,6777452,1759540
Liechtenstein,,47.14,9.55,Europe,38019,160
Lithuania,,55.1694,23.8813,Europe,2759627,65300
Luxembourg,,49.8153,6.1296,Europe,615729,2586
Madagascar,,-18.7669,46.8691,Africa,26969307,587041
Malaysia,,2.5,112.5,Asia,31949777,330803
Maldives,,3.2028,73.2207,Asia,530953,300
Mali,,17.570692,-3.996166,Africa,19658031,1240192
Malta,,35.9375,14.3754,Europe,440372,316
Mauritania,,21.0079,10.9408,Africa,4525696,1030700
Mauritius,,-20.2,57.5,Africa,1198575,2040
Mexico,,23.6345,-102.5528,Americas,127575529,1964375
Moldova,,47.4116,28.3699,Europe,4043263,33846
Monaco,,43.7333,7.4167,Europe,38964,2.02
Mongolia,,46.8625,103.8467,Asia,3225167,1564110
Montenegro,,42.5,19.3,Europe,627987,13812
Morocco,,31.7917,-7.0926,Africa,36471769,446550
Mozambique,,-18.665695,35.529562,Africa,30366036,801590
Namibia,,-22.9576,18.4904,Africa,2494530,825615
Nepal,,28.1667,84.25,Asia,28608710,147181
Netherlands,,52.1326,5.2913,Europe,17097130,41850
Netherlands,Aruba,12.5186,-70.0358,Europe,112309,180
Netherlands,Curacao,12.1696,-68.99,Europe,158665,444
Netherlands,Sint Maarten,18.0425,-63.0548,Europe,41486,34
New Zealand,,-40.9006,174.886,Oceania,4783063,270467
Nicaragua,,12.8654,-85.2072,Americas,6545502,130373
Niger,,17.6078,8.0817,Africa,23310715,1267000
Nigeria,,9.082,8.6753,Africa,200963599,923768
North Macedonia,,41.6086,21.7453,Europe,2083459,25713
Norway,,60.472,8.4689,Europe,5378857,323802
Oman,,21,57,Asia,4974986,309500
Pakistan,,30.3753,69.3451,Asia,216565318,907132
Panama,,8.538,-80.7821,Americas,4246439,75417
Papua New Guinea,,-6.315,143.9555,Oceania,8776109,462840
Paraguay,,-23.4425,-58.4438,Americas,7044636,406752
Peru,,-9.19,-75.0152,Americas,32510453,1285216
Philippines,,13,122,Asia,108116615,3.00E+05
Poland,,51.9194,19.1451,Europe,37887768,312696
Portugal,,39.3999,-8.2245,Europe,10226187,92090
Qatar,,25.3548,51.1839,Asia,2832067,11586
Romania,,45.9432,24.9668,Europe,19364557,238397
Russia,,60,90,Europe,145872256,17098246
Rwanda,,-1.9403,29.8739,Africa,12626950,26338
Saint Kitts and Nevis,,17.357822,-62.782998,Americas,52823,261
Saint Lucia,,13.9094,-60.9789,Americas,182790,616
Saint Vincent and the Grenadines,,12.9843,-61.2872,Americas,110589,389
San Marino,,43.9424,12.4578,Europe,33860,61
Saudi Arabia,,24,45,Asia,34268528,2149690
Senegal,,14.4974,-14.4524,Africa,16296364,196722
Serbia,,44.0165,21.0059,Europe,8772235,88361
Seychelles,,-4.6796,55.492,Africa,97739,452
Singapore,,1.2833,103.8333,Asia,5804337,716
Slovakia,,48.669,19.699,Europe,5457013,49037
Slovenia,,46.1512,14.9955,Europe,2078654,20273
Somalia,,5.1521,46.1996,Africa,15442905,637657
South Africa,,-30.5595,22.9375,Africa,58558270,1221037
Spain,,40,-4,Europe,46736776,505992
Sri Lanka,,7,81,Asia,21323733,65610
Sudan,,12.8628,30.2176,Africa,42813238,1861484
Suriname,,3.9193,-56.0278,Americas,581372,163820
Sweden,,63,16,Europe,10036379,450295
Switzerland,,46.8182,8.2275,Europe,8591365,41284
Syria,,34.802075,38.996815,Asia,17070135,185180
Taiwan*,,23.7,121,Asia,23773876,36193
Tanzania,,-6.369,34.8888,Africa,58005463,945087
